id,title,publication_year,doi,authors,abstract,biorepository_related
https://openalex.org/W2166171121,Ultra-high-throughput microbial community analysis on the Illumina HiSeq and MiSeq platforms,2012,https://doi.org/10.1038/ismej.2012.8,"J. Gregory Caporaso, Christian L. Lauber, William A. Walters, Donna Berg-Lyons, James S. Huntley, Noah Fierer, Sarah M. Owens, Jason Betley, Louise Fraser, Markus Bauer, Niall Gormley, Jack A. Gilbert, Geoff Smith, Rob Knight","DNA sequencing continues to decrease in cost with the Illumina HiSeq2000 generating up to 600 Gb of paired-end 100 base reads in a ten-day run. Here we present a protocol for community amplicon sequencing on the HiSeq2000 and MiSeq Illumina platforms, and apply that protocol to sequence 24 microbial communities from host-associated and free-living environments. A critical question as more sequencing platforms become available is whether biological conclusions derived on one platform are consistent with what would be derived on a different platform. We show that the protocol developed for these instruments successfully recaptures known biological results, and additionally that biological conclusions are consistent across sequencing platforms (the HiSeq2000 versus the MiSeq) and across the sequenced regions of amplicons.",FALSE
https://openalex.org/W2127597920,Habitat fragmentation and its lasting impact on Earth’s ecosystems,2015,https://doi.org/10.1126/sciadv.1500052,"Nick M. Haddad, Lars A. Brudvig, Jean Clobert, Kendi F. Davies, Andrew Gonzalez, Robert D. Holt, Thomas Ε. Lovejoy, Joe Sexton, Mike P. Austin, Cathy D. Collins, William M. Cook, Ellen I. Damschen, Robert M. Ewers, Bryan L. Foster, Clinton N. Jenkins, Andrew J. King, William F. Laurance, Douglas J. Levey, Chris Margules, Brett A. Melbourne, Anthony Nicholls, John L. Orrock, Dan-Xia Song, John Townshend","We conducted an analysis of global forest cover to reveal that 70% of remaining forest is within 1 km of the forest's edge, subject to the degrading effects of fragmentation. A synthesis of fragmentation experiments spanning multiple biomes and scales, five continents, and 35 years demonstrates that habitat fragmentation reduces biodiversity by 13 to 75% and impairs key ecosystem functions by decreasing biomass and altering nutrient cycles. Effects are greatest in the smallest and most isolated fragments, and they magnify with the passage of time. These findings indicate an urgent need for conservation and restoration measures to improve landscape connectivity, which will reduce extinction rates and help maintain ecosystem services.",FALSE
https://openalex.org/W2136738044,Soundscape Ecology: The Science of Sound in the Landscape,2011,https://doi.org/10.1525/bio.2011.61.3.6,"Bryan C. Pijanowski, Luis J. Villanueva-Rivera, Sarah L. Dumyahn, Almo Farina, Bernie Krause, Brian M. Napoletano, Stuart H. Gage, Nadia Pieretti","This article presents a unifying theory of soundscape ecology, which brings the idea of the soundscape-the collection of sounds that emanate from landscapes-into a research and application focus. Our conceptual framework of soundscape ecology is based on the causes and consequences of biological (biophony), geophysical (geophony), and human-produced (anthrophony) sounds. We argue that soundscape ecology shares many parallels with landscape ecology, and it should therefore be considered a branch of this maturing field. We propose a research agenda for soundscape ecology that includes six areas: (1) measurement and analytical challenges, (2) spatial-temporal dynamics, (3) soundscape linkage to environmental covariates, ( We present case studies that illustrate different approaches to understanding soundscape dynamics. Because soundscapes are our auditory link to nature, we also argue for their protection, using the knowledge of how sounds are produced by the environment and humans.",TRUE
https://openalex.org/W2102127703,Solar‐induced chlorophyll fluorescence that correlates with canopy photosynthesis on diurnal and seasonal scales in a temperate deciduous forest,2015,https://doi.org/10.1002/2015gl063201,"Xi Yang, Jianwu Tang, John F. Mustard, Jung‐Eun Lee, Micol Rossini, Joanna Joiner, J. William Munger, Ari Kornfeld, Andrew D. Richardson","Abstract Previous studies have suggested that solar‐induced chlorophyll fluorescence (SIF) is correlated with Gross Primary Production (GPP). However, it remains unclear to what extent this relationship is due to absorbed photosynthetically active radiation (APAR) and/or light use efficiency (LUE). Here we present the first time series of near‐surface measurement of canopy‐scale SIF at 760 nm in temperate deciduous forests. SIF correlated with GPP estimated with eddy covariance at diurnal and seasonal scales ( r 2 = 0.82 and 0.73, respectively), as well as with APAR diurnally and seasonally ( r 2 = 0.90 and 0.80, respectively). SIF/APAR is significantly positively correlated with LUE and is higher during cloudy days than sunny days. Weekly tower‐based SIF agreed with SIF from the Global Ozone Monitoring Experiment‐2 ( r 2 = 0.82). Our results provide ground‐based evidence that SIF is directly related to both APAR and LUE and thus GPP, and confirm that satellite SIF can be used as a proxy for GPP.",FALSE
https://openalex.org/W2112118618,NEON: the first continental-scale ecological observatory with airborne remote sensing of vegetation canopy biochemistry and structure,2010,https://doi.org/10.1117/1.3361375,Thomas U. Kampe,"The National Ecological Observatory Network (NEON) is an ecological observation platform for discovering, understanding and forecasting the impacts of climate change, land use change, and invasive species on continental-scale ecology. NEON will operate for 30 years and gather long-term data on ecological response changes and on feedbacks with the geosphere, hydrosphere, and atmosphere. Local ecological measurements at sites distributed within 20 ecoclimatic domains across the contiguous United States, Alaska, Hawaii, and Puerto Rico will be coordinated with high resolution, regional airborne remote sensing observations. The Airborne Observation Platform (AOP) is an aircraft platform carrying remote sensing instrumentation designed to achieve sub-meter to meter scale ground resolution, bridging scales from organisms and individual stands to satellite-based remote sensing. AOP instrumentation consists of a VIS/SWIR imaging spectrometer, a scanning small-footprint waveform LiDAR for 3-D canopy structure measurements and a high resolution airborne digital camera. AOP data will be openly available to scientists and will provide quantitative information on land use change and changes in ecological structure and chemistry including the presence and effects of invasive species. AOP science objectives, key mission requirements, and development status are presented including an overview of near-term risk-reduction and prototyping activities.",FALSE
https://openalex.org/W2952142982,Individual Tree-Crown Detection in RGB Imagery Using Semi-Supervised Deep Learning Neural Networks,2019,https://doi.org/10.3390/rs11111309,"Ben Weinstein, Sergio Marconi, Stephanie Bohlman, Alina Zare, Ethan P. White","Remote sensing can transform the speed, scale, and cost of biodiversity and forestry surveys. Data acquisition currently outpaces the ability to identify individual organisms in high resolution imagery. We outline an approach for identifying tree-crowns in RGB imagery while using a semi-supervised deep learning detection network. Individual crown delineation has been a long-standing challenge in remote sensing and available algorithms produce mixed results. We show that deep learning models can leverage existing Light Detection and Ranging (LIDAR)-based unsupervised delineation to generate trees that are used for training an initial RGB crown detection model. Despite limitations in the original unsupervised detection approach, this noisy training data may contain information from which the neural network can learn initial tree features. We then refine the initial model using a small number of higher-quality hand-annotated RGB images. We validate our proposed approach while using an open-canopy site in the National Ecological Observation Network. Our results show that a model using 434,551 self-generated trees with the addition of 2848 hand-annotated trees yields accurate predictions in natural landscapes. Using an intersection-over-union threshold of 0.5, the full model had an average tree crown recall of 0.69, with a precision of 0.61 for the visually-annotated data. The model had an average tree detection rate of 0.82 for the field collected stems. The addition of a small number of hand-annotated trees improved the performance over the initial self-supervised model. This semi-supervised deep learning approach demonstrates that remote sensing can overcome a lack of labeled training data by generating noisy data for initial training using unsupervised methods and retraining the resulting models with high quality labeled data.",FALSE
https://openalex.org/W2975724454,Tree height explains mortality risk during an intense drought,2019,https://doi.org/10.1038/s41467-019-12380-6,"Atticus Stovall, Herman H. Shugart, Xi Yang",NA,NA
https://openalex.org/W3040739689,The FLUXNET2015 dataset and the ONEFlux processing pipeline for eddy covariance data,2020,https://doi.org/10.1038/s41597-020-0534-3,"Gilberto Pastorello, Carlo Trotta, Eleonora Canfora, Housen Chu, Danielle Christianson, You-Wei Cheah, C. Poindexter, Jiquan Chen, Abdelrahman Elbashandy, Marty Humphrey, Peter Isaac, Diego Polidori, Markus Reichstein, Alessio Ribeca, Catharine van Ingen, Nicolas Vuichard, Leiming Zhang, B. D. Amiro, Christof Ammann, M. Altaf Arain, Jonas Ardö, Timothy J. Arkebauer, Stefan K. Arndt, Nicola Arriga, Marc Aubinet, Mika Aurela, Dennis Baldocchi, Alan Barr, Eric Beamesderfer, Luca Belelli Marchesini, Onil Bergeron, Jason Beringer, Christian Bernhofer, Daniel Berveiller, D. P. Billesbach, T. Andrew Black, Peter D. Blanken, Gil Bohrer, Julia Boike, Paul V. Bolstad, Damien Bonal, Jean-Marc Bonnefond, D. R. Bowling, Rosvel Bracho, Jason Brodeur, Christian Brümmer, Nina Buchmann, Benoît Burban, Sean P. Burns, Pauline Buysse, Peter Cale, M. Cavagna, Pierre Cellier, Shiping Chen, Isaac Chini, Torben R. Christensen, James Cleverly, Alessio Collalti, Claudia Consalvo, Bruce D. Cook, David Cook, Carole Coursolle, Edoardo Cremonese, Peter S. Curtis, Ettore D’Andrea, Humberto da Rocha, Xiaoqin Dai, K. J. Davis, Bruno De Cinti, A. de Grandcourt, Anne De Ligne, Raimundo Cosme de Oliveira, Nicolas Delpierre, Ankur R. Desai, Carlos Marcelo Di Bella, Paul Di Tommasi, A. J. Dolman, Francisco Domingo, Gang Dong, Sabina Dore, Pierpaolo Duce, Éric Dufrêne, Allison L. Dunn, Jiří Dušek, Derek Eamus, Uwe Eichelmann, Hatim Abdalla M. ElKhidir, Werner Eugster, Cäcilia Ewenz, B. E. Ewers, Daniela Famulari, Silvano Fares, Iris Feigenwinter, Andrew Feitz, Rasmus Fensholt, Gianluca Filippa, M. L. Fischer, J. M. Frank, Marta Galvagno, Mana Gharun",NA,NA
https://openalex.org/W2086373815,A Network of Terrestrial Environmental Observatories in Germany,2011,https://doi.org/10.2136/vzj2010.0139,"Steffen Zacharias, Heye Bogena, Luis Samaniego, Matthias Mauder, Roland Fuß, Thomas Pütz, Mark Frenzel, Mike Schwank, Cornelia Baeßler, Klaus Butterbach‐Bahl, Oliver Bens, Erik Borg, Achim Brauer, Peter Dietrich, Irena Hajnsek, Gerhard Helle, Ralf Kiese, Harald Kunstmann, Stefan Klotz, Jean Charles Munch, H. Papen, Eckart Priesack, Hans Peter Schmid, R. Steinbrecher, U. Rosenbaum, Georg Teutsch, Harry Vereecken","Multicompartment and multiscale long‐term observation and research are important prerequisites to tackling the scientific challenges resulting from climate and global change. Long‐term monitoring programs are cost intensive and require high analytical standards, however, and the gain of knowledge often requires longer observation times. Nevertheless, several environmental research networks have been established in recent years, focusing on the impact of climate and land use change on terrestrial ecosystems. From 2008 onward, a network of Terrestrial Environmental Observatories (TERENO) has been established in Germany as an interdisciplinary research program that aims to observe and explore the long‐term ecological, social, and economic impacts of global change at the regional level. State‐of‐the‐art methods from the field of environmental monitoring, geophysics, and remote sensing will be used to record and analyze states and fluxes for different environmental compartments from groundwater through the vadose zone, surface water, and biosphere, up to the lower atmosphere.",FALSE
https://openalex.org/W2802282671,Earth BioGenome Project: Sequencing life for the future of life,2018,https://doi.org/10.1073/pnas.1720115115,"Harris A. Lewin, Gene E. Robinson, W. John Kress, William J. Baker, Jonathan A. Coddington, Keith A. Crandall, Richard Durbin, Scott V. Edwards, Félix Forest, M. Thomas P. Gilbert, Melissa M. Goldstein, Igor V. Grigoriev, Kevin J. Hackett, David Haussler, Erich D. Jarvis, Warren E. Johnson, A.A.N. Patrinos, Stephen Richards, Carlos Rubio-Terrés, Marie‐Anne Van Sluys, Pamela S. Soltis, Xun Xu, Huanming Yang, Guojie Zhang","Increasing our understanding of Earth's biodiversity and responsibly stewarding its resources are among the most crucial scientific and social challenges of the new millennium. These challenges require fundamental new knowledge of the organization, evolution, functions, and interactions among millions of the planet's organisms. Herein, we present a perspective on the Earth BioGenome Project (EBP), a moonshot for biology that aims to sequence, catalog, and characterize the genomes of all of Earth's eukaryotic biodiversity over a period of 10 years. The outcomes of the EBP will inform a broad range of major issues facing humanity, such as the impact of climate change on biodiversity, the conservation of endangered species and ecosystems, and the preservation and enhancement of ecosystem services. We describe hurdles that the project faces, including data-sharing policies that ensure a permanent, freely available resource for future scientific discovery while respecting access and benefit sharing guidelines of the Nagoya Protocol. We also describe scientific and organizational challenges in executing such an ambitious project, and the structure proposed to achieve the project's goals. The far-reaching potential benefits of creating an open digital repository of genomic information for life on Earth can be realized only by a coordinated international effort.",TRUE
https://openalex.org/W1964255443,Finding Our Way through Phenotypes,2015,https://doi.org/10.1371/journal.pbio.1002033,"Andrew Deans, Suzanna Lewis, Eva Huala, Salvatore S. Anzaldo, Michael Ashburner, James P. Balhoff, David C. Blackburn, Judith A. Blake, J. Gordon Burleigh, Bruno Chanet, Laurel Cooper, Mélanie Courtot, Sándor Csősz, Hong Cui, Wasila Dahdul, Sandip Das, T. Alexander Dececchi, Agnès Dettaı̈, Rui Diogo, Robert E. Druzinsky, Michel Dumontier, Nico M. Franz, Frank Friedrich, Georgios V. Gkoutos, Melissa Haendel, Luke J. Harmon, Terry F. Hayamizu, Yongqun He, Heather M. Hines, Nizar Ibrahim, Laura M. Jackson, Pankaj Jaiswal, Christina James‐Zorn, Sebastian Köhler, Guillaume Lecointre, Hilmar Lapp, Carolyn J. Lawrence, Nicolas Le Novère, John G. Lundberg, James Macklin, Austin Mast, Peter Midford, István Mikó, Chris Mungall, Anika Oellrich, David Osumi-Sutherland, Helen Parkinson, Martín J. Ramiréz, Stefan Richter, Peter N. Robinson, Alan Ruttenberg, Katja Schulz, Erik Segerdell, Katja C. Seltmann, Michael J. Sharkey, Aaron D. Smith, Barry Smith, Chelsea D. Specht, R. Burke Squires, Robert Thacker, Anne Thessen, José Fernández-Triana, Mauno Vihinen, Peter D. Vize, Lars Vogt, Christine E. Wall, Ramona Walls, Westerfeld Monte, Robert A. Wharton, Christian S. Wirkner, James B. Woolley, Matthew Yoder, Aaron M. Zorn, Paula Mabee","Despite a large and multifaceted effort to understand the vast landscape of phenotypic data, their current form inhibits productive data analysis. The lack of a community-wide, consensus-based, human- and machine-interpretable language for describing phenotypes and their genomic and environmental contexts is perhaps the most pressing scientific bottleneck to integration across many key fields in biology, including genomics, systems biology, development, medicine, evolution, ecology, and systematics. Here we survey the current phenomics landscape, including data resources and handling, and the progress that has been made to accurately capture relevant data descriptions for phenotypes. We present an example of the kind of integration across domains that computable phenotypes would enable, and we call upon the broader biology community, publishers, and relevant funding agencies to support efforts to surmount today's data barriers and facilitate analytical reproducibility.",FALSE
